"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Apple",1,1,"355079.97","263374.70","AAA","AAA","2022","2021"
"Amazon",2,2,"350273.25","254187.58","AAA+","AAA+","2022","2021"
"Google",3,3,"263424.93","191214.84","AAA+","AAA","2022","2021"
"Microsoft",4,4,"184244.52","140435.35","AAA","AAA","2022","2021"
"Walmart",5,6,"111918.32","93185.28","AAA-","AA+","2022","2021"
"Samsung Group",6,5,"107284.00","102623.00","AAA-","AAA-","2022","2021"
"Facebook",7,7,"101200.52","81476.37","AA+","AA+","2022","2021"
"ICBC",8,8,"75119.27","72788.38","AAA+","AAA","2022","2021"
"Huawei",9,15,"71232.74","55395.83","AAA-","AAA","2022","2021"
"Verizon",10,9,"69639.25","68889.50","AAA-","AAA","2022","2021"
"China Construction Bank",11,11,"65546.46","59649.12","AAA","AAA","2022","2021"
"Toyota",12,12,"64283.00","59479.00","AAA","AAA","2022","2021"
"WeChat",13,10,"62302.54","67901.98","AAA+","AAA+","2022","2021"
"Agricultural Bank Of China",14,19,"62031.22","53134.09","AAA","AAA-","2022","2021"
"Mercedes-Benz",15,13,"60760.00","58225.00","AAA-","AAA-","2022","2021"
"State Grid",16,16,"60174.88","55202.86","AAA","AAA-","2022","2021"
"Deutsche Telekom",17,23,"60168.74","51107.03","AAA-","AA+","2022","2021"
"TikTok/Douyin",18,"-","58979.93","-","AA+","-","2022","2021"
"Disney",19,22,"57059.42","51244.01","AAA+","AAA+","2022","2021"
"Home Depot",20,20,"56312.30","52917.39","AAA-","AAA","2022","2021"
"Ping An",21,17,"54354.00","54579.00","AAA-","AAA-","2022","2021"
"Taobao",22,18,"53761.50","53335.29","AAA-","AAA","2022","2021"
"Shell",23,28,"49925.43","42156.08","AAA-","AAA","2022","2021"
"Bank of China",24,25,"49553.38","48689.28","AAA","AAA","2022","2021"
"Tmall",25,24,"49182.43","49178.92","AA+","AAA","2022","2021"
"AT&T",26,21,"47008.54","51372.34","AA","AA","2022","2021"
"Tencent",27,14,"46652.50","56432.39","AAA-","AAA","2022","2021"
"Tesla",28,42,"46009.69","31985.90","AA+","AA+","2022","2021"
"Starbucks",29,31,"45699.13","38440.12","AAA","AAA-","2022","2021"
"Allianz Group",30,"-","45203.47","-","AAA-","-","2022","2021"
"Aramco",31,33,"43636.86","37478.64","AA","AA","2022","2021"
"Moutai",32,27,"42905.18","45333.22","AAA","AAA","2022","2021"
"Volkswagen",33,26,"41046.00","47020.00","AAA-","AAA-","2022","2021"
"China Mobile",34,32,"40902.69","37558.89","AAA-","AAA-","2022","2021"
"NTT Group",35,37,"40691.00","34238.00","AA+","AA","2022","2021"
"McDonald's",36,38,"39720.80","33838.36","AAA","AAA","2022","2021"
"Mitsubishi Group",37,34,"39203.00","36296.92","AA-","AA-","2022","2021"
"UPS",38,50,"38533.32","30055.96","AAA-","AA+","2022","2021"
"BMW",39,29,"37945.39","40447.11","AAA-","AAA-","2022","2021"
"Costco",40,51,"37501.35","28887.90","AAA-","AA+","2022","2021"
"Bank of America",41,40,"36719.17","32787.35","AA+","AA+","2022","2021"
"Marlboro",42,35,"36278.00","35572.00","AA+","AA+","2022","2021"
"accenture",43,60,"36190.05","26028.06","AAA","AAA","2022","2021"
"Coca-Cola",44,39,"35379.02","33166.17","AAA+","AAA+","2022","2021"
"Citi",45,41,"34443.07","32199.99","AAA-","AAA-","2022","2021"
"Porsche",46,36,"33712.92","34325.53","AAA","AAA-","2022","2021"
"Instagram",47,63,"33483.24","25073.11","AAA+","AAA","2022","2021"
"Lowe's",48,49,"33391.59","30376.09","AAA-","AAA-","2022","2021"
"Nike",49,47,"33175.68","30443.30","AAA-","AAA","2022","2021"
"UnitedHealthcare",50,54,"32946.22","27308.02","AA+","AA","2022","2021"
"Xfinity",51,62,"31262.54","25226.81","AA","AA","2022","2021"
"Chase",52,52,"30148.31","28849.24","AA","AA+","2022","2021"
"Wells Fargo",53,44,"30054.20","31804.69","AA","AA+","2022","2021"
"Deloitte",54,56,"29811.34","26661.77","AAA+","AAA+","2022","2021"
"PetroChina",55,45,"29656.09","31414.63","AA","AA+","2022","2021"
"Netflix",56,64,"29410.58","24943.42","AAA+","AAA","2022","2021"
"Oracle",57,59,"29120.63","26156.75","AA","AA","2022","2021"
"JP Morgan",58,66,"28887.99","23565.13","AAA-","AAA","2022","2021"
"Wuliangye",59,61,"28744.31","25768.07","AAA","AAA","2022","2021"
"Target",60,80,"28341.88","20685.19","AAA-","AA+","2022","2021"
"Honda",61,46,"28243.00","31366.00","AAA-","AAA","2022","2021"
"CSCEC",62,48,"27385.67","30383.30","AA","AA","2022","2021"
"American Express",63,67,"27247.50","23558.79","AA+","AA+","2022","2021"
"JD.com",64,68,"27152.47","23539.49","AAA-","AAA","2022","2021"
"VISA",65,57,"27088.93","26507.84","AAA-","AAA","2022","2021"
"Cisco",66,86,"26599.15","20122.38","AAA-","AA+","2022","2021"
"CVS",67,55,"26185.00","26942.29","AA","AA+","2022","2021"
"FedEx",68,69,"26011.61","23538.64","AA+","AA","2022","2021"
"Intel",69,43,"25612.10","31817.20","AA+","AAA","2022","2021"
"Sinopec",70,58,"25164.93","26397.98","AA+","AA+","2022","2021"
"Sumitomo Group",71,65,"25050.00","24122.19","AA-","A+","2022","2021"
"Hyundai Group",72,70,"24971.00","23092.43","AA","AA","2022","2021"
"SK Group",73,78,"24421.00","21115.26","AA+","AA","2022","2021"
"China Merchants Bank",74,79,"24369.70","21043.70","AA+","AA+","2022","2021"
"Mitsui",75,73,"24329.00","22495.82","A+","A+","2022","2021"
"Ford",76,71,"24178.00","22676.00","AA+","AA+","2022","2021"
"Spectrum",77,75,"24082.81","21423.61","AA","AA","2022","2021"
"TATA Group",78,77,"23919.80","21283.10","AAA-","AAA-","2022","2021"
"YouTube",79,102,"23891.37","17286.13","AAA+","AAA","2022","2021"
"China Life",80,72,"23885.00","22578.00","AAA","AAA-","2022","2021"
"Louis Vuitton",81,123,"23425.92","14857.61","AAA","AAA-","2022","2021"
"EY",82,83,"23247.49","20287.40","AAA+","AAA+","2022","2021"
"PWC",83,74,"23170.58","22231.61","AAA","AAA","2022","2021"
"Alibaba.com",84,30,"22842.66","39155.52","AA+","AAA","2022","2021"
"Uber",85,82,"22819.98","20477.90","AA-","AA-","2022","2021"
"Siemens Group",86,81,"22430.00","20646.00","AA+","AA+","2022","2021"
"Dell Technologies",87,94,"22220.00","18427.00","AA","AA","2022","2021"
"Mastercard",88,90,"21425.30","19117.21","AA+","AAA-","2022","2021"
"IBM",89,53,"21383.00","27428.00","AA+","AA+","2022","2021"
"Nestlé",90,88,"20818.74","19427.99","AAA","AAA","2022","2021"
"LG Group",91,92,"20792.00","18519.05","AA+","AA+","2022","2021"
"Pepsi",92,93,"20712.25","18455.47","AAA+","AAA","2022","2021"
"TSMC",93,148,"20474.00","12297.96","AAA-","AAA-","2022","2021"
"Sony",94,115,"19814.90","15701.90","AAA-","AA+","2022","2021"
"General Electric",95,97,"19725.44","18028.43","AA+","AA+","2022","2021"
"CRCC",96,112,"19687.30","15910.79","AA+","AA-","2022","2021"
"Walgreens",97,108,"19685.87","16096.58","AA+","AA","2022","2021"
"Vodafone",98,89,"19506.03","19252.35","AA","AA+","2022","2021"
"Aldi",99,118,"19236.62","15487.07","AAA-","AAA-","2022","2021"
"RBC",100,114,"19039.81","15817.97","AAA-","AAA","2022","2021"
"BP",101,76,"-","-","-","-","2022","2021"
"Orange",102,91,"-","-","-","-","2022","2021"
"PayPal",103,106,"-","-","-","-","2022","2021"
"Anthem",104,113,"-","-","-","-","2022","2021"
"China Telecom",105,137,"-","-","-","-","2022","2021"
"SAP",106,98,"-","-","-","-","2022","2021"
"CRECG",107,122,"-","-","-","-","2022","2021"
"GUCCI",108,117,"-","-","-","-","2022","2021"
"HSBC",109,105,"-","-","-","-","2022","2021"
"Lidl",110,159,"-","-","-","-","2022","2021"
"Salesforce",111,139,"-","-","-","-","2022","2021"
"Bank of Communications",112,116,"-","-","-","-","2022","2021"
"KFC",113,120,"-","-","-","-","2022","2021"
"TD",114,110,"-","-","-","-","2022","2021"
"Capital One",115,142,"-","-","-","-","2022","2021"
"IKEA",116,99,"-","-","-","-","2022","2021"
"AXA",117,101,"-","-","-","-","2022","2021"
"Bosch",118,95,"-","-","-","-","2022","2021"
"HCA",119,136,"-","-","-","-","2022","2021"
"Goldman Sachs",120,130,"-","-","-","-","2022","2021"
"Postal Savings Bank",121,133,"-","-","-","-","2022","2021"
"Nvidia",122,231,"-","-","-","-","2022","2021"
"Optum",123,145,"-","-","-","-","2022","2021"
"CPIC",124,119,"-","-","-","-","2022","2021"
"Boeing",125,132,"-","-","-","-","2022","2021"
"Santander",126,127,"-","-","-","-","2022","2021"
"Chanel",127,138,"-","-","-","-","2022","2021"
"TotalEnergies",128,96,"-","-","-","-","2022","2021"
"SoftBank",129,143,"-","-","-","-","2022","2021"
"Adidas",130,126,"-","-","-","-","2022","2021"
"Hitachi",131,109,"-","-","-","-","2022","2021"
"Chevron",132,111,"-","-","-","-","2022","2021"
"Nissan",133,107,"-","-","-","-","2022","2021"
"Shanghai Pudong Development Bank",134,121,"-","-","-","-","2022","2021"
"Volvo",135,100,"-","-","-","-","2022","2021"
"Country Garden",136,87,"-","-","-","-","2022","2021"
"Adobe",137,156,"-","-","-","-","2022","2021"
"Humana",138,135,"-","-","-","-","2022","2021"
"au",139,124,"-","-","-","-","2022","2021"
"Audi",140,103,"-","-","-","-","2022","2021"
"Purina",141,192,"-","-","-","-","2022","2021"
"7-Eleven",142,194,"-","-","-","-","2022","2021"
"Petronas",143,153,"-","-","-","-","2022","2021"
"Enel",144,154,"-","-","-","-","2022","2021"
"Hermès",145,157,"-","-","-","-","2022","2021"
"Sam's Club",146,163,"-","-","-","-","2022","2021"
"Johnson & Johnson",147,165,"-","-","-","-","2022","2021"
"Airbus",148,193,"-","-","-","-","2022","2021"
"GEICO",149,162,"-","-","-","-","2022","2021"
"AIA",150,128,"-","-","-","-","2022","2021"
"ZARA",151,140,"-","-","-","-","2022","2021"
"Tesco",152,170,"-","-","-","-","2022","2021"
"Vanke",153,104,"-","-","-","-","2022","2021"
"KPMG",154,149,"-","-","-","-","2022","2021"
"Universal",155,158,"-","-","-","-","2022","2021"
"Sber",156,181,"-","-","-","-","2022","2021"
"China CITIC Bank",157,125,"-","-","-","-","2022","2021"
"Infosys",158,214,"-","-","-","-","2022","2021"
"ADNOC",159,164,"-","-","-","-","2022","2021"
"H&M",160,147,"-","-","-","-","2022","2021"
"Morgan Stanley",161,180,"-","-","-","-","2022","2021"
"Cartier",162,152,"-","-","-","-","2022","2021"
"JR",163,155,"-","-","-","-","2022","2021"
"BNP Paribas",164,146,"-","-","-","-","2022","2021"
"EDF",165,189,"-","-","-","-","2022","2021"
"Hilton",166,253,"-","-","-","-","2022","2021"
"Sky",167,199,"-","-","-","-","2022","2021"
"NetEase",168,129,"-","-","-","-","2022","2021"
"Scotiabank",169,197,"-","-","-","-","2022","2021"
"Meituan",170,265,"-","-","-","-","2022","2021"
"Chevrolet",171,131,"-","-","-","-","2022","2021"
"Carrefour",172,225,"-","-","-","-","2022","2021"
"L'Oréal",173,168,"-","-","-","-","2022","2021"
"Barclays",174,198,"-","-","-","-","2022","2021"
"Progressive",175,201,"-","-","-","-","2022","2021"
"ExxonMobil",176,134,"-","-","-","-","2022","2021"
"DHL",177,179,"-","-","-","-","2022","2021"
"Lexus",178,203,"-","-","-","-","2022","2021"
"LIC",179,208,"-","-","-","-","2022","2021"
"Canada Life",180,266,"-","-","-","-","2022","2021"
"Chubb",181,262,"-","-","-","-","2022","2021"
"Yili",182,178,"-","-","-","-","2022","2021"
"MUFG",183,150,"-","-","-","-","2022","2021"
"STC",184,191,"-","-","-","-","2022","2021"
"Industrial Bank",185,151,"-","-","-","-","2022","2021"
"Midea",186,175,"-","-","-","-","2022","2021"
"Metlife",187,217,"-","-","-","-","2022","2021"
"LinkedIn",188,220,"-","-","-","-","2022","2021"
"China Everbright Bank",189,167,"-","-","-","-","2022","2021"
"Woolworths",190,200,"-","-","-","-","2022","2021"
"U.S. Bank",191,215,"-","-","-","-","2022","2021"
"Etisalat",192,210,"-","-","-","-","2022","2021"
"Eni",193,211,"-","-","-","-","2022","2021"
"HP",194,213,"-","-","-","-","2022","2021"
"Yahoo! Group",195,184,"-","-","-","-","2022","2021"
"Lockheed Martin",196,166,"-","-","-","-","2022","2021"
"BMO",197,196,"-","-","-","-","2022","2021"
"Pinduoduo",198,311,"-","-","-","-","2022","2021"
"Xiaomi",199,185,"-","-","-","-","2022","2021"
"Land Rover",200,276,"-","-","-","-","2022","2021"
"S&P Global",201,206,"-","-","-","-","2022","2021"
"Fox",202,187,"-","-","-","-","2022","2021"
"China Minsheng Bank",203,144,"-","-","-","-","2022","2021"
"Publix",204,232,"-","-","-","-","2022","2021"
"Intesa Sanpaolo",205,260,"-","-","-","-","2022","2021"
"Japan Post Holdings",206,205,"-","-","-","-","2022","2021"
"UNIQLO",207,141,"-","-","-","-","2022","2021"
"PICC",208,204,"-","-","-","-","2022","2021"
"ING",209,171,"-","-","-","-","2022","2021"
"UBS",210,207,"-","-","-","-","2022","2021"
"Dollar General",211,177,"-","-","-","-","2022","2021"
"NBC",212,212,"-","-","-","-","2022","2021"
"Allstate",213,278,"-","-","-","-","2022","2021"
"Equinor",214,202,"-","-","-","-","2022","2021"
"PNC",215,286,"-","-","-","-","2022","2021"
"Sephora",216,173,"-","-","-","-","2022","2021"
"Power China",217,219,"-","-","-","-","2022","2021"
"Honeywell",218,306,"-","-","-","-","2022","2021"
"Renault",219,172,"-","-","-","-","2022","2021"
"Dior",220,243,"-","-","-","-","2022","2021"
"Circle K",221,332,"-","-","-","-","2022","2021"
"Nokia",222,182,"-","-","-","-","2022","2021"
"Roche",223,249,"-","-","-","-","2022","2021"
"China Unicom",224,239,"-","-","-","-","2022","2021"
"Truist",225,234,"-","-","-","-","2022","2021"
"Panasonic",226,174,"-","-","-","-","2022","2021"
"Viettel",227,326,"-","-","-","-","2022","2021"
"Travelers",228,237,"-","-","-","-","2022","2021"
"Cognizant",229,233,"-","-","-","-","2022","2021"
"Vinci",230,236,"-","-","-","-","2022","2021"
"TJ Maxx",231,300,"-","-","-","-","2022","2021"
"booking.com",232,222,"-","-","-","-","2022","2021"
"ESPN",233,230,"-","-","-","-","2022","2021"
